Iteration:399 Cost:250.06389373302417 Improvement:0.08613521668368662
Iteration:400 Cost:250.0630000900134 Improvement:-0.06549110878160036
Iteration:401 Cost:250.05771091721195 Improvement:0.0008936430107837623
Iteration:402 Cost:249.9989452889512 Improvement:0.005289172801440145
Iteration:403 Cost:249.85610102112585 Improvement:0.05876562826074405
Iteration:404 Cost:249.76647545073132 Improvement:0.1428442678253532
Iteration:405 Cost:249.66464401354753 Improvement:0.08962557039453145
Iteration:406 Cost:249.62014399797283 Improvement:0.10183143718379029
Iteration:407 Cost:249.61166905857363 Improvement:0.04450001557469818
Iteration:408 Cost:249.53082686234166 Improvement:0.00847493939920696
Iteration:409 Cost:249.56856427155148 Improvement:0.08084219623196987
Iteration:410 Cost:249.48249386495593 Improvement:-0.037737409209825046
Iteration:411 Cost:249.4358599264059 Improvement:0.0860704065955531
Iteration:412 Cost:249.32462460171823 Improvement:0.04663393855003051
Iteration:413 Cost:249.1448010371795 Improvement:0.11123532468766939
Iteration:414 Cost:249.12269349762775 Improvement:0.1798235645387365
Iteration:415 Cost:249.06057544734637 Improvement:0.022107539551740274
Iteration:416 Cost:249.03142312511093 Improvement:0.062118050281384285
Iteration:417 Cost:248.94518288285116 Improvement:0.029152322235432848
Iteration:418 Cost:248.85751615384197 Improvement:0.08624024225977678
Iteration:419 Cost:248.8390595293174 Improvement:0.08766672900918593
Iteration:420 Cost:248.82223961398967 Improvement:0.01845662452456054
Iteration:421 Cost:248.75820687115973 Improvement:0.016819915327744184
Iteration:422 Cost:248.67858665471462 Improvement:0.0640327428299372
Iteration:423 Cost:248.6755545820493 Improvement:0.07962021644510742
