Itr:130 Energy:-0.0645763823319614 Cost:384.8129701797429 energy_imp:7.634307225154457e-06 cost_imp:0.5334284153423141
Itr:131 Energy:-0.06458394211834816 Cost:384.28482352314677 energy_imp:7.559786386751588e-06 cost_imp:0.5281466565961068
Itr:132 Energy:-0.06459142897465972 Cost:383.7618775197986 energy_imp:7.486856311564316e-06 cost_imp:0.5229460033481814
Itr:133 Energy:-0.06459884445463149 Cost:383.24405256387064 energy_imp:7.415479971767391e-06 cost_imp:0.5178249559279493
Itr:134 Energy:-0.06460619007588779 Cost:382.73127051643377 energy_imp:7.345621256302226e-06 cost_imp:0.5127820474368718
Itr:135 Energy:-0.06461346732083383 Cost:382.22345467351823 energy_imp:7.277244946035655e-06 cost_imp:0.5078158429155337
Itr:136 Energy:-0.06462067763752428 Cost:381.7205297349756 energy_imp:7.210316690459129e-06 cost_imp:0.5029249385426056
Itr:137 Energy:-0.0646278224405088 Cost:381.2224217741325 energy_imp:7.14480298451281e-06 cost_imp:0.4981079608431287
Itr:138 Energy:-0.06463490311165468 Cost:380.7290582081939 energy_imp:7.080671145881512e-06 cost_imp:0.49336356593858
Itr:139 Energy:-0.06464192100094847 Cost:380.2403677693958 energy_imp:7.017889293789437e-06 cost_imp:0.48869043879813034
Itr:140 Energy:-0.06464887742727596 Cost:379.75628047686837 energy_imp:6.9564263274896065e-06 cost_imp:0.4840872925274198
Itr:141 Energy:-0.06465577367918215 Cost:379.27672760919995 energy_imp:6.896251906196582e-06 cost_imp:0.4795528676684171
Itr:142 Energy:-0.06466261101561048 Cost:378.8016416776826 energy_imp:6.837336428325291e-06 cost_imp:0.4750859315173557
Itr:143 Energy:-0.06466939066662382 Cost:378.33095640020844 energy_imp:6.779651013338883e-06 cost_imp:0.47068527747416056
Itr:144 Energy:-0.06467611383410575 Cost:377.8646066758144 energy_imp:6.723167481931247e-06 cost_imp:0.46634972439403555
Itr:145 Energy:-0.06468278169244417 Cost:377.4025285598459 energy_imp:6.6678583384160994e-06 cost_imp:0.46207811596849524
Itr:146 Energy:-0.06468939538919649 Cost:376.9446592397274 energy_imp:6.613696752325038e-06 cost_imp:0.4578693201185047
Itr:147 Energy:-0.06469595604573844 Cost:376.490937011321 energy_imp:6.560656541948484e-06 cost_imp:0.4537222284063773
Itr:148 Energy:-0.06470246475789532 Cost:376.041301255859 energy_imp:6.5087121568774275e-06 cost_imp:0.44963575546199763
Itr:149 Energy:-0.0647089225965574 Cost:375.59569241743037 energy_imp:6.457838662085602e-06 cost_imp:0.4456088384286545
Itr:150 Energy:-0.06471533060827937 Cost:375.1540519810125 energy_imp:6.4080117219700305e-06 cost_imp:0.4416404364178561
