Itr:210 Energy:0.11138352203520173 Cost:358.1487376940804 energy_imp:0.00012555980435062508 cost_imp:0.5156518277011628
Itr:211 Energy:0.11125821766157883 Cost:357.6361308523657 energy_imp:0.00012530437362290314 cost_imp:0.512606841714728
Itr:212 Energy:0.11113316782024854 Cost:357.12655257030633 energy_imp:0.0001250498413302853 cost_imp:0.5095782820593513
Itr:213 Energy:0.11100837161689457 Cost:356.61998652011516 energy_imp:0.00012479620335396902 cost_imp:0.506566050191168
Itr:214 Energy:0.11088382816129602 Cost:356.1164164718739 energy_imp:0.00012454345559854973 cost_imp:0.5035700482412722
Itr:215 Energy:0.11075953656730379 Cost:355.6158262928618 energy_imp:0.000124291593992229 cost_imp:0.5005901790120788
Itr:216 Energy:0.11063549595281812 Cost:355.1181999468894 energy_imp:0.0001240406144856765 cost_imp:0.49762634597243505
Itr:217 Energy:0.11051170543976514 Cost:354.62352149364096 energy_imp:0.00012379051305297373 cost_imp:0.49467845324841164
Itr:218 Energy:0.1103881641540746 Cost:354.13177508801596 energy_imp:0.00012354128569054545 cost_imp:0.49174640562500826
Itr:219 Energy:0.1102648712256569 Cost:353.6429449794795 energy_imp:0.0001232929284177009 cost_imp:0.48883010853643327
Itr:220 Energy:0.11014182578838097 Cost:353.1570155114202 energy_imp:0.00012304543727592598 cost_imp:0.48592946805933934
Itr:221 Energy:0.11001902698005177 Cost:352.6739711205058 energy_imp:0.00012279880832920254 cost_imp:0.48304439091435825
Itr:222 Energy:0.10989647394238826 Cost:352.1937963360513 energy_imp:0.00012255303766350867 cost_imp:0.4801747844545048
Itr:223 Energy:0.1097741658210014 Cost:351.71647577938666 energy_imp:0.00012230812138686042 cost_imp:0.4773205566646652
Itr:224 Energy:0.10965210176537236 Cost:351.2419941632333 energy_imp:0.00012206405562903422 cost_imp:0.47448161615335493
Itr:225 Energy:0.10953028092883052 Cost:350.7703362910813 energy_imp:0.00012182083654184439 cost_imp:0.4716578721519795
